 userid |   ddate    | tpos | lengthh 
    131 | 2014-02-15 |   53 |      17
    132 | 2014-02-09 |    2 |      16
    133 | 2014-02-17 |   86 |      16
    133 | 2014-02-10 |   20 |      16
    134 | 2014-02-12 |   30 |      14
    134 | 2014-02-16 |   74 |      14
    135 | 2014-02-10 |   12 |      22
    136 | 2014-02-11 |   25 |      12
    136 | 2014-02-16 |   72 |      12
    136 | 2014-02-10 |   13 |      12
    137 | 2014-02-10 |   21 |      19
    138 | 2014-02-12 |   29 |      12
    139 | 2014-02-10 |   14 |      15
    140 | 2014-02-08 |    0 |      13
    140 | 2014-02-15 |   69 |      13
    141 | 2014-02-13 |   37 |      15
    142 | 2014-02-13 |   44 |      18
    143 | 2014-02-12 |   33 |      15
    144 | 2014-02-12 |   33 |      14
    144 | 2014-02-14 |   59 |      14
    145 | 2014-02-11 |   20 |      11
    145 | 2014-02-14 |   48 |      11
    146 | 2014-02-09 |    2 |      16
    147 | 2014-02-15 |   63 |      15
    148 | 2014-02-14 |   53 |      15
    149 | 2014-02-16 |   75 |      13
    150 | 2014-02-14 |   46 |      14
    151 | 2014-02-10 |   12 |      18
    152 | 2014-02-11 |   31 |      14
    153 | 2014-02-16 |   75 |      14
    153 | 2014-02-10 |   20 |      14
    154 | 2014-02-11 |   24 |      15
    155 | 2014-02-11 |   32 |      15
    156 | 2014-02-13 |   52 |      14
    157 | 2014-02-15 |   56 |      14
    158 | 2014-02-11 |   30 |      17
    159 | 2014-02-17 |   85 |      16
    160 | 2014-02-13 |   55 |      14
    161 | 2014-02-16 |   80 |      16
    162 | 2014-02-16 |   78 |      16
    163 | 2014-02-12 |   27 |      15
    164 | 2014-02-14 |   58 |      16
    165 | 2014-02-09 |    4 |      20
    166 | 2014-02-12 |   44 |      14
    166 | 2014-02-09 |   12 |      14
    167 | 2014-02-12 |   29 |      16
    168 | 2014-02-14 |   57 |      16
    169 | 2014-02-10 |   15 |      12
    170 | 2014-02-10 |   21 |      13
    171 | 2014-02-14 |   51 |      14
    171 | 2014-02-11 |   20 |      14
    172 | 2014-02-13 |   44 |      12
    173 | 2014-02-14 |   48 |      19
    174 | 2014-02-16 |   62 |      12
    174 | 2014-02-15 |   50 |      12
    175 | 2014-02-10 |   20 |      19
    176 | 2014-02-09 |    9 |      12
    176 | 2014-02-14 |   54 |      12
    177 | 2014-02-17 |   79 |      13
    178 | 2014-02-11 |   23 |      15
    179 | 2014-02-12 |   32 |      16
    180 | 2014-02-14 |   52 |      15
    181 | 2014-02-09 |    6 |      12
    182 | 2014-02-16 |   70 |      14
    182 | 2014-02-15 |   56 |      14
    183 | 2014-02-11 |   26 |      19
    184 | 2014-02-17 |   77 |      14
    185 | 2014-02-11 |   23 |      14
    186 | 2014-02-12 |   40 |      18
    187 | 2014-02-14 |   59 |      16
    188 | 2014-02-10 |   20 |      18
    189 | 2014-02-13 |   31 |      17
    190 | 2014-02-17 |   78 |      15
    191 | 2014-02-13 |   50 |      19
    192 | 2014-02-10 |   14 |      14
    193 | 2014-02-16 |   72 |      14
    194 | 2014-02-16 |   65 |      15
    195 | 2014-02-14 |   44 |      13
    196 | 2014-02-12 |   35 |      18
    197 | 2014-02-14 |   48 |      13
    197 | 2014-02-12 |   29 |      13
    198 | 2014-02-16 |   69 |      18
    199 | 2014-02-10 |   15 |      13
    200 | 2014-02-09 |   11 |      12
    201 | 2014-02-14 |   48 |      14
    202 | 2014-02-16 |   57 |      12
    203 | 2014-02-13 |   50 |      14
    204 | 2014-02-09 |    6 |      14
    205 | 2014-02-11 |   30 |      18
    206 | 2014-02-15 |   59 |      16
    207 | 2014-02-14 |   53 |      15
    208 | 2014-02-13 |   39 |      16
    209 | 2014-02-16 |   65 |      15
    210 | 2014-02-11 |   20 |      12
    211 | 2014-02-14 |   53 |      15
    212 | 2014-02-09 |    4 |      16
    213 | 2014-02-13 |   54 |      15
    214 | 2014-02-15 |   61 |      14
    215 | 2014-02-14 |   43 |      15
    216 | 2014-02-11 |   22 |      18
    217 | 2014-02-16 |   76 |      15
    218 | 2014-02-15 |   74 |      17
    219 | 2014-02-09 |    7 |      18
    219 | 2014-02-17 |  101 |      18
    220 | 2014-02-10 |   15 |      13
    220 | 2014-02-17 |   87 |      13
    221 | 2014-02-13 |   38 |      12
    222 | 2014-02-11 |   28 |      13
    223 | 2014-02-11 |   26 |      14
    224 | 2014-02-13 |   41 |      12
    224 | 2014-02-12 |   29 |      12
    225 | 2014-02-10 |   18 |      13
    225 | 2014-02-13 |   48 |      13
    226 | 2014-02-13 |   41 |      15
    227 | 2014-02-09 |    3 |      13
    227 | 2014-02-10 |   16 |      13
    228 | 2014-02-11 |   23 |      14
    229 | 2014-02-12 |   41 |      16
    230 | 2014-02-14 |   50 |      14
    230 | 2014-02-10 |    9 |      14
    231 | 2014-02-10 |   19 |      18
    232 | 2014-02-16 |   73 |      16
    233 | 2014-02-11 |   30 |      16
    233 | 2014-02-15 |   80 |      16
    234 | 2014-02-12 |   39 |      14
    234 | 2014-02-14 |   58 |      14
    235 | 2014-02-09 |    9 |      14
    236 | 2014-02-11 |   20 |      15
    237 | 2014-02-17 |   68 |      11
    237 | 2014-02-10 |   14 |      11
    238 | 2014-02-16 |   82 |      17
    239 | 2014-02-09 |    5 |      12
    240 | 2014-02-13 |   39 |      12
    241 | 2014-02-12 |   36 |      19
    242 | 2014-02-15 |   58 |      14
    243 | 2014-02-11 |   16 |      16
    244 | 2014-02-15 |   65 |      15
    245 | 2014-02-12 |   31 |      16
    246 | 2014-02-15 |   62 |      14
    247 | 2014-02-10 |   12 |      22
    248 | 2014-02-15 |   53 |      12
    248 | 2014-02-16 |   65 |      12
    248 | 2014-02-09 |    7 |      12
    249 | 2014-02-14 |   56 |      16
    250 | 2014-02-16 |   75 |      15
    251 | 2014-02-11 |   28 |      16
    252 | 2014-02-09 |    2 |      16
    253 | 2014-02-12 |   30 |      10
    253 | 2014-02-11 |   20 |      10
    253 | 2014-02-16 |   66 |      10
    254 | 2014-02-16 |   61 |      18
    255 | 2014-02-09 |    8 |      15
    256 | 2014-02-15 |   66 |      13
    257 | 2014-02-11 |   24 |      16
    258 | 2014-02-12 |   25 |      14
    259 | 2014-02-09 |    7 |      15
    260 | 2014-02-10 |   14 |      16
    261 | 2014-02-17 |   70 |      12
    262 | 2014-02-15 |   66 |      17
    263 | 2014-02-11 |   31 |      17
    264 | 2014-02-10 |   16 |      13
    265 | 2014-02-14 |   53 |      17
    266 | 2014-02-13 |   51 |      17
    267 | 2014-02-15 |   73 |      16
    267 | 2014-02-12 |   38 |      16
    268 | 2014-02-09 |    3 |      14
    268 | 2014-02-17 |   65 |      14
    269 | 2014-02-16 |   68 |      17
    270 | 2014-02-10 |   16 |      14
    271 | 2014-02-09 |    6 |      16
    272 | 2014-02-14 |   44 |      15
    273 | 2014-02-09 |    6 |      18
    274 | 2014-02-11 |   19 |      14
    275 | 2014-02-17 |   99 |      14
    276 | 2014-02-12 |   34 |      14
    277 | 2014-02-10 |   11 |      13
    278 | 2014-02-12 |   21 |      13
    279 | 2014-02-14 |   53 |      16
    280 | 2014-02-16 |   77 |      16
    281 | 2014-02-12 |   29 |      17
    282 | 2014-02-10 |   19 |      14
    282 | 2014-02-09 |    5 |      14
    283 | 2014-02-16 |   62 |      12
    284 | 2014-02-15 |   72 |      18
    285 | 2014-02-16 |   58 |      14
    286 | 2014-02-10 |   12 |      18
    287 | 2014-02-10 |   21 |      19
    288 | 2014-02-16 |   82 |      17
    289 | 2014-02-15 |   64 |      17
    290 | 2014-02-10 |   13 |      17
    291 | 2014-02-10 |   11 |      16
    292 | 2014-02-14 |   48 |      15
    293 | 2014-02-14 |   59 |      14
    293 | 2014-02-10 |   16 |      14
    294 | 2014-02-10 |   23 |      16
    295 | 2014-02-13 |   48 |      15
    296 | 2014-02-16 |   63 |      14
    297 | 2014-02-09 |    9 |      16
    298 | 2014-02-15 |   55 |      19
    299 | 2014-02-17 |   89 |      14
    300 | 2014-02-09 |    6 |      16
    301 | 2014-02-15 |   59 |      14
    302 | 2014-02-12 |   32 |      13
    303 | 2014-02-12 |   38 |      16
    304 | 2014-02-09 |    8 |      18
    305 | 2014-02-12 |   37 |      16
    306 | 2014-02-10 |   18 |      16
    307 | 2014-02-15 |   49 |      14
    308 | 2014-02-09 |   11 |      13
    309 | 2014-02-13 |   52 |      21
    310 | 2014-02-17 |   72 |      19
    311 | 2014-02-12 |   34 |      15
    312 | 2014-02-16 |   76 |      18
    313 | 2014-02-17 |   82 |      12
    314 | 2014-02-16 |   84 |      20
    315 | 2014-02-17 |   90 |      13
    316 | 2014-02-10 |   19 |      18
    317 | 2014-02-10 |   20 |      16
    318 | 2014-02-10 |   14 |      15
    319 | 2014-02-10 |   12 |      14
    319 | 2014-02-14 |   55 |      14
    320 | 2014-02-15 |   65 |      14
    321 | 2014-02-15 |   61 |      16
    322 | 2014-02-11 |   22 |      17
    323 | 2014-02-11 |   20 |      12
    324 | 2014-02-16 |   60 |      12
    325 | 2014-02-10 |    7 |      15
    325 | 2014-02-17 |   85 |      15
    326 | 2014-02-13 |   43 |      15
    327 | 2014-02-10 |   17 |      14
    327 | 2014-02-16 |   85 |      14
    328 | 2014-02-17 |   87 |      16
    329 | 2014-02-17 |   82 |      11
    329 | 2014-02-16 |   71 |      11
    329 | 2014-02-11 |   27 |      11
    330 | 2014-02-14 |   54 |      21
    331 | 2014-02-13 |   45 |      15
    332 | 2014-02-09 |   11 |      14
    333 | 2014-02-16 |   80 |      15
    333 | 2014-02-09 |    7 |      15
    334 | 2014-02-10 |   11 |      18
    335 | 2014-02-13 |   29 |      15
    336 | 2014-02-15 |   59 |      14
    337 | 2014-02-12 |   27 |      13
    338 | 2014-02-10 |   15 |      13
    339 | 2014-02-17 |   59 |      14
    340 | 2014-02-13 |   43 |      13
    340 | 2014-02-11 |   19 |      13
    340 | 2014-02-14 |   56 |      13
    340 | 2014-02-17 |   90 |      13
    341 | 2014-02-12 |   35 |      16
    342 | 2014-02-15 |   55 |      14
    343 | 2014-02-14 |   51 |      13
    344 | 2014-02-11 |   23 |      17
    345 | 2014-02-11 |   23 |      14
    346 | 2014-02-16 |   65 |      14
    347 | 2014-02-10 |   11 |      15
    347 | 2014-02-13 |   45 |      15
    348 | 2014-02-15 |   56 |      15
    349 | 2014-02-12 |   40 |      15
    349 | 2014-02-10 |   14 |      15
    350 | 2014-02-15 |   64 |      16
    351 | 2014-02-14 |   51 |      16
    352 | 2014-02-13 |   43 |      15
    353 | 2014-02-09 |    4 |      17
    354 | 2014-02-16 |   68 |      14
    354 | 2014-02-13 |   36 |      14
    355 | 2014-02-17 |   77 |      16
    356 | 2014-02-13 |   51 |      13
    356 | 2014-02-12 |   38 |      13
    356 | 2014-02-17 |   88 |      13
    357 | 2014-02-09 |    6 |      13
    358 | 2014-02-15 |   74 |      15
    359 | 2014-02-11 |   31 |      16
    360 | 2014-02-09 |    8 |      16
    361 | 2014-02-12 |   34 |      14
    362 | 2014-02-12 |   39 |      12
    362 | 2014-02-11 |   27 |      12
    363 | 2014-02-10 |   15 |      14
    364 | 2014-02-11 |   22 |      13
    364 | 2014-02-15 |   65 |      13
    365 | 2014-02-11 |   26 |      15
    365 | 2014-02-09 |    3 |      15
    366 | 2014-02-11 |   23 |      15
    367 | 2014-02-09 |    8 |      12
    367 | 2014-02-11 |   28 |      12
    368 | 2014-02-13 |   39 |      14
    369 | 2014-02-09 |    7 |      12
    370 | 2014-02-17 |   83 |      13
    371 | 2014-02-17 |   86 |      13
    371 | 2014-02-09 |    7 |      13
    371 | 2014-02-14 |   53 |      13
    372 | 2014-02-16 |   71 |      14
    372 | 2014-02-12 |   33 |      14
    373 | 2014-02-17 |   85 |      15
    374 | 2014-02-17 |   79 |      14
    375 | 2014-02-12 |   40 |      20
    376 | 2014-02-15 |   63 |      20
    377 | 2014-02-12 |   36 |      16
    378 | 2014-02-14 |   61 |      16
    379 | 2014-02-13 |   43 |      14
    380 | 2014-02-17 |   84 |      15
    381 | 2014-02-13 |   47 |      14
    382 | 2014-02-12 |   36 |      12
    382 | 2014-02-10 |   14 |      12
    383 | 2014-02-10 |    7 |      14
    384 | 2014-02-16 |   75 |      13
    385 | 2014-02-11 |   30 |      13
    385 | 2014-02-12 |   43 |      13
    385 | 2014-02-10 |   17 |      13
    386 | 2014-02-15 |   59 |      13
    386 | 2014-02-12 |   27 |      13
    387 | 2014-02-11 |   24 |      14
    388 | 2014-02-12 |   29 |      17
    389 | 2014-02-14 |   62 |      14
    390 | 2014-02-12 |   37 |      12
    390 | 2014-02-11 |   25 |      12
    391 | 2014-02-09 |    3 |      12
    392 | 2014-02-15 |   64 |      13
    393 | 2014-02-10 |   19 |      16
    394 | 2014-02-16 |   71 |      13
    395 | 2014-02-14 |   62 |      14
    395 | 2014-02-13 |   48 |      14
    396 | 2014-02-15 |   55 |      13
    397 | 2014-02-12 |   28 |      18
    398 | 2014-02-16 |   81 |      13
    398 | 2014-02-13 |   47 |      13
    399 | 2014-02-14 |   62 |      15
    400 | 2014-02-15 |   64 |      13
    400 | 2014-02-10 |   14 |      13
    400 | 2014-02-11 |   27 |      13
    401 | 2014-02-14 |   44 |      16
    402 | 2014-02-13 |   34 |      17
    403 | 2014-02-11 |   26 |      14
    404 | 2014-02-13 |   40 |      15
    405 | 2014-02-14 |   52 |      17
    406 | 2014-02-10 |   12 |      15
    407 | 2014-02-12 |   36 |      15
    408 | 2014-02-16 |   76 |      13
    409 | 2014-02-14 |   60 |      19
    410 | 2014-02-12 |   38 |      14
    410 | 2014-02-10 |   18 |      14
    411 | 2014-02-09 |    4 |      17
    412 | 2014-02-15 |   54 |      15
