 userid | utctimestamp | tpos | length 
--------+--------------+------+--------
   5544 | 2014-02-15   |   78 |      2
    706 | 2014-02-15   |   68 |      3
    825 | 2014-02-13   |   45 |      3
   1239 | 2014-02-12   |   48 |      3
   1415 | 2014-02-10   |   30 |      3
   1431 | 2014-02-10   |   17 |      3
   1805 | 2014-02-13   |   42 |      3
   2154 | 2014-02-13   |   48 |      3
   2607 | 2014-02-12   |   49 |      3
   2638 | 2014-02-15   |   82 |      3
   3348 | 2014-02-12   |   42 |      3
   3363 | 2014-02-11   |   27 |      3
   3497 | 2014-02-16   |   82 |      3
   3519 | 2014-02-10   |   17 |      3
   3935 | 2014-02-14   |   68 |      3
   3974 | 2014-02-14   |   59 |      3
   4227 | 2014-02-14   |   70 |      3
   4682 | 2014-02-17   |   84 |      3
   4872 | 2014-02-13   |   54 |      3
   5151 | 2014-02-09   |   10 |      3
   5233 | 2014-02-17   |   92 |      3
   5238 | 2014-02-12   |   37 |      3
   5410 | 2014-02-16   |   66 |      3
   5717 | 2014-02-09   |    5 |      3
   5759 | 2014-02-12   |   47 |      3
   5970 | 2014-02-12   |   48 |      3
   6422 | 2014-02-18   |   88 |      3
   6928 | 2014-02-17   |   84 |      3
   7155 | 2014-02-15   |   75 |      3
   7284 | 2014-02-18   |  103 |      3
   7527 | 2014-02-11   |   29 |      3
   7567 | 2014-02-09   |   13 |      3
   7608 | 2014-02-15   |   68 |      3
   7709 | 2014-02-11   |   38 |      3
   7829 | 2014-02-13   |   47 |      3
   8056 | 2014-02-09   |    9 |      3
   8164 | 2014-02-17   |   88 |      3
   8382 | 2014-02-11   |   31 |      3
   8387 | 2014-02-12   |   39 |      3
   8418 | 2014-02-08   |    1 |      3
   8499 | 2014-02-09   |    4 |      3
   8613 | 2014-02-13   |   42 |      3
   8731 | 2014-02-16   |   79 |      3
   8959 | 2014-02-14   |   57 |      3
   9081 | 2014-02-12   |   38 |      3
   9504 | 2014-02-17   |   99 |      3
   9723 | 2014-02-08   |    4 |      3
   9733 | 2014-02-16   |   83 |      3
   9871 | 2014-02-15   |   78 |      3
    351 | 2014-02-16   |   80 |      4
    721 | 2014-02-08   |    1 |      4
   1025 | 2014-02-17   |   80 |      4
   1031 | 2014-02-09   |    8 |      4
   1444 | 2014-02-10   |   18 |      4
   1480 | 2014-02-17   |  105 |      4
   1687 | 2014-02-11   |   31 |      4
   2190 | 2014-02-09   |    6 |      4
   2521 | 2014-02-17   |   86 |      4
   3689 | 2014-02-16   |   84 |      4
   4410 | 2014-02-17   |   87 |      4
   5755 | 2014-02-11   |   19 |      4
   5994 | 2014-02-13   |   33 |      4
   6261 | 2014-02-10   |   23 |      4
   6392 | 2014-02-08   |    2 |      4
   7250 | 2014-02-11   |   28 |      4
   7458 | 2014-02-15   |   77 |      4
   7490 | 2014-02-15   |   70 |      4
   7650 | 2014-02-13   |   53 |      4
   7684 | 2014-02-16   |   71 |      4
   7933 | 2014-02-10   |   19 |      4
   8404 | 2014-02-18   |  108 |      4
   9105 | 2014-02-16   |   91 |      4
   9666 | 2014-02-16   |   72 |      4
   9960 | 2014-02-14   |   49 |      4
   1228 | 2014-02-11   |   35 |      5
   3517 | 2014-02-15   |   75 |      5
   4458 | 2014-02-12   |   41 |      5
   5336 | 2014-02-13   |   50 |      5
   6473 | 2014-02-11   |   33 |      5
   6480 | 2014-02-14   |   67 |      5
   7133 | 2014-02-09   |   12 |      5
   7239 | 2014-02-11   |   35 |      5
   7448 | 2014-02-08   |    1 |      5
   8498 | 2014-02-13   |   31 |      5
   8891 | 2014-02-15   |   79 |      5
   9873 | 2014-02-10   |   20 |      5
   9958 | 2014-02-17   |   99 |      5
    411 | 2014-02-10   |   22 |      6
    627 | 2014-02-15   |   83 |      6
   2588 | 2014-02-15   |   70 |      6
   3355 | 2014-02-12   |   42 |      6
   3415 | 2014-02-12   |   42 |      6
   4492 | 2014-02-13   |   52 |      6
   4846 | 2014-02-17   |   72 |      6
   5067 | 2014-02-11   |   35 |      6
   5365 | 2014-02-14   |   61 |      6
   5731 | 2014-02-17   |   76 |      6
   6396 | 2014-02-10   |   14 |      6
   6544 | 2014-02-14   |   67 |      6
   6752 | 2014-02-09   |    6 |      6
   7491 | 2014-02-12   |   39 |      6
   8012 | 2014-02-09   |   13 |      6
   8036 | 2014-02-15   |   67 |      6
   8254 | 2014-02-17   |   94 |      6
   8328 | 2014-02-09   |    8 |      6
   8473 | 2014-02-14   |   63 |      6
   8580 | 2014-02-11   |   27 |      6
   9104 | 2014-02-14   |   57 |      6
   2257 | 2014-02-13   |   57 |      7
   3124 | 2014-02-11   |   27 |      7
   3577 | 2014-02-13   |   59 |      7
   3923 | 2014-02-10   |   14 |      7
   5543 | 2014-02-15   |   64 |      7
   6321 | 2014-02-09   |    6 |      7
   7636 | 2014-02-09   |   12 |      7
   7872 | 2014-02-11   |   26 |      7
   8203 | 2014-02-16   |   76 |      7
   8448 | 2014-02-16   |   61 |      7
   9921 | 2014-02-10   |   15 |      7
    313 | 2014-02-16   |   74 |      8
   1115 | 2014-02-10   |   18 |      8
   2645 | 2014-02-12   |   46 |      8
   3095 | 2014-02-11   |   31 |      8
   3409 | 2014-02-14   |   69 |      8
   4675 | 2014-02-12   |   22 |      8
   4768 | 2014-02-13   |   47 |      8
   5139 | 2014-02-14   |   44 |      8
   5321 | 2014-02-10   |   14 |      8
   5839 | 2014-02-13   |   42 |      8
   5956 | 2014-02-14   |   57 |      8
   7660 | 2014-02-16   |   69 |      8
   8445 | 2014-02-13   |   53 |      8
   9993 | 2014-02-15   |   55 |      8
    998 | 2014-02-16   |   87 |      9
   2713 | 2014-02-09   |    8 |      9
   3572 | 2014-02-09   |    3 |     10
   5160 | 2014-02-10   |   16 |     10
   8373 | 2014-02-16   |   72 |     10
   8758 | 2014-02-11   |   34 |     10
   2122 | 2014-02-16   |   93 |     11
   5306 | 2014-02-10   |   11 |     11
   5444 | 2014-02-12   |   33 |     11
   8618 | 2014-02-16   |   89 |     11
   1604 | 2014-02-09   |    8 |     12
