 userid | utctimestamp | tpos | length 
   3432 | 2014-02-14   |   57 |      6
   3800 | 2014-02-14   |   60 |      6
   3813 | 2014-02-12   |   40 |      6
   3828 | 2014-02-09   |    4 |      6
   3838 | 2014-02-16   |   61 |      6
   3870 | 2014-02-13   |   56 |      6
   3902 | 2014-02-17   |   71 |      6
   4001 | 2014-02-10   |   12 |      6
   4049 | 2014-02-16   |   88 |      6
   4131 | 2014-02-12   |   32 |      6
   4174 | 2014-02-13   |   39 |      6
   4288 | 2014-02-10   |   15 |      6
   4361 | 2014-02-10   |   22 |      6
   4365 | 2014-02-14   |   64 |      6
   4511 | 2014-02-09   |    4 |      6
   4514 | 2014-02-12   |   42 |      6
   4527 | 2014-02-15   |   62 |      6
   4611 | 2014-02-16   |   90 |      6
   4683 | 2014-02-09   |   12 |      6
   4804 | 2014-02-10   |   23 |      6
   4832 | 2014-02-10   |   18 |      6
   4965 | 2014-02-11   |   33 |      6
   5050 | 2014-02-17   |   76 |      6
   5080 | 2014-02-10   |   11 |      6
   5202 | 2014-02-11   |   22 |      6
   5259 | 2014-02-11   |   30 |      6
   5405 | 2014-02-10   |   18 |      6
   5598 | 2014-02-08   |    0 |      6
   5654 | 2014-02-17   |   85 |      6
   5716 | 2014-02-16   |   64 |      6
   5790 | 2014-02-17   |   90 |      6
   6085 | 2014-02-10   |   18 |      6
   6139 | 2014-02-10   |   13 |      6
   6156 | 2014-02-15   |   75 |      6
   6159 | 2014-02-16   |   88 |      6
   6174 | 2014-02-10   |   25 |      6
   6189 | 2014-02-13   |   53 |      6
   6195 | 2014-02-13   |   40 |      6
   6310 | 2014-02-09   |    6 |      6
   6402 | 2014-02-13   |   50 |      6
   6607 | 2014-02-11   |   20 |      6
   6827 | 2014-02-08   |    1 |      6
   7081 | 2014-02-14   |   51 |      6
   7289 | 2014-02-17   |   73 |      6
   7349 | 2014-02-17   |   80 |      6
   7480 | 2014-02-13   |   67 |      6
   7584 | 2014-02-14   |   70 |      6
   7668 | 2014-02-10   |   19 |      6
   7771 | 2014-02-13   |   51 |      6
   7802 | 2014-02-14   |   44 |      6
   7831 | 2014-02-13   |   57 |      6
   7867 | 2014-02-10   |   13 |      6
   7867 | 2014-02-16   |   73 |      6
   7976 | 2014-02-15   |   64 |      6
   7985 | 2014-02-16   |   74 |      6
   7996 | 2014-02-17   |   70 |      6
   8015 | 2014-02-09   |    8 |      6
   8183 | 2014-02-12   |   45 |      6
   8363 | 2014-02-09   |    8 |      6
   8455 | 2014-02-13   |   47 |      6
   8509 | 2014-02-17   |   85 |      6
   8610 | 2014-02-12   |   40 |      6
   8652 | 2014-02-14   |   54 |      6
   8653 | 2014-02-17   |   78 |      6
   8775 | 2014-02-16   |   75 |      6
   8798 | 2014-02-12   |   37 |      6
   8907 | 2014-02-17   |   83 |      6
   8983 | 2014-02-12   |   49 |      6
   9003 | 2014-02-16   |   75 |      6
   9179 | 2014-02-13   |   44 |      6
   9187 | 2014-02-10   |   24 |      6
   9203 | 2014-02-12   |   30 |      6
   9210 | 2014-02-15   |   58 |      6
   9313 | 2014-02-08   |    0 |      6
   9453 | 2014-02-12   |   43 |      6
   9455 | 2014-02-09   |    7 |      6
   9518 | 2014-02-09   |   16 |      6
   9569 | 2014-02-09   |    9 |      6
   9616 | 2014-02-15   |   61 |      6
   9634 | 2014-02-12   |   47 |      6
   9638 | 2014-02-13   |   53 |      6
   9975 | 2014-02-15   |   67 |      6
     68 | 2014-02-11   |   30 |      7
     94 | 2014-02-17   |   83 |      7
    205 | 2014-02-15   |   80 |      7
    275 | 2014-02-14   |   66 |      7
    342 | 2014-02-16   |   71 |      7
    442 | 2014-02-14   |   63 |      7
    507 | 2014-02-12   |   43 |      7
    572 | 2014-02-12   |   40 |      7
    672 | 2014-02-11   |   20 |      7
    818 | 2014-02-14   |   60 |      7
    873 | 2014-02-10   |   19 |      7
    897 | 2014-02-13   |   50 |      7
    930 | 2014-02-15   |   59 |      7
   1104 | 2014-02-16   |   64 |      7
   1224 | 2014-02-17   |   63 |      7
   1250 | 2014-02-11   |   19 |      7
   1461 | 2014-02-10   |   16 |      7
   1547 | 2014-02-12   |   27 |      7
   1550 | 2014-02-12   |   48 |      7
   1574 | 2014-02-12   |   21 |      7
   2036 | 2014-02-12   |   41 |      7
   2050 | 2014-02-14   |   53 |      7
   2062 | 2014-02-15   |   61 |      7
   2130 | 2014-02-13   |   59 |      7
   2383 | 2014-02-13   |   50 |      7
   2505 | 2014-02-13   |   38 |      7
   2531 | 2014-02-12   |   39 |      7
   2590 | 2014-02-15   |   71 |      7
   2663 | 2014-02-11   |   25 |      7
   2689 | 2014-02-11   |   18 |      7
   2854 | 2014-02-12   |   42 |      7
   3317 | 2014-02-09   |   12 |      7
   3628 | 2014-02-12   |   44 |      7
   3675 | 2014-02-11   |   24 |      7
   3691 | 2014-02-13   |   44 |      7
   3835 | 2014-02-16   |   82 |      7
   3837 | 2014-02-12   |   42 |      7
   3956 | 2014-02-09   |   15 |      7
   3976 | 2014-02-15   |   62 |      7
   4042 | 2014-02-12   |   45 |      7
   4087 | 2014-02-17   |   83 |      7
   4122 | 2014-02-14   |   55 |      7
   4329 | 2014-02-13   |   51 |      7
   4404 | 2014-02-09   |    7 |      7
   4457 | 2014-02-14   |   57 |      7
   4520 | 2014-02-09   |    6 |      7
   4693 | 2014-02-09   |   11 |      7
   4789 | 2014-02-16   |   70 |      7
   4832 | 2014-02-11   |   37 |      7
   4848 | 2014-02-17   |   85 |      7
   4939 | 2014-02-11   |   31 |      7
   5031 | 2014-02-11   |   34 |      7
   5063 | 2014-02-10   |   17 |      7
   5233 | 2014-02-09   |    5 |      7
   5259 | 2014-02-11   |   30 |      7
   5351 | 2014-02-16   |   79 |      7
   6162 | 2014-02-12   |   48 |      7
   6249 | 2014-02-17   |   94 |      7
   6451 | 2014-02-16   |   68 |      7
   6477 | 2014-02-09   |   12 |      7
   6480 | 2014-02-13   |   53 |      7
   6786 | 2014-02-13   |   47 |      7
   6793 | 2014-02-14   |   64 |      7
   6927 | 2014-02-14   |   63 |      7
   6948 | 2014-02-14   |   63 |      7
   6994 | 2014-02-16   |   85 |      7
   7144 | 2014-02-08   |    1 |      7
   7334 | 2014-02-14   |   50 |      7
   7356 | 2014-02-13   |   53 |      7
   7430 | 2014-02-10   |   15 |      7
   7537 | 2014-02-16   |   88 |      7
   7643 | 2014-02-17   |   97 |      7
   7680 | 2014-02-10   |   22 |      7
   7809 | 2014-02-11   |   25 |      7
   7882 | 2014-02-11   |   38 |      7
   7925 | 2014-02-11   |   29 |      7
   8187 | 2014-02-11   |   26 |      7
   8330 | 2014-02-13   |   39 |      7
   8388 | 2014-02-10   |   22 |      7
   8402 | 2014-02-10   |   21 |      7
   8623 | 2014-02-10   |   14 |      7
   8775 | 2014-02-16   |   74 |      7
   8807 | 2014-02-13   |   47 |      7
   9179 | 2014-02-13   |   44 |      7
   9321 | 2014-02-15   |   67 |      7
   9671 | 2014-02-11   |   24 |      7
   9971 | 2014-02-17   |  100 |      7
     10 | 2014-02-12   |   40 |      8
    370 | 2014-02-10   |   15 |      8
    506 | 2014-02-14   |   57 |      8
    735 | 2014-02-16   |   76 |      8
   1071 | 2014-02-09   |    7 |      8
   1217 | 2014-02-10   |   17 |      8
   1295 | 2014-02-14   |   54 |      8
   1485 | 2014-02-09   |    6 |      8
   1577 | 2014-02-11   |   42 |      8
   1636 | 2014-02-16   |   84 |      8
   1791 | 2014-02-13   |   42 |      8
   1978 | 2014-02-17   |   92 |      8
   2402 | 2014-02-09   |    7 |      8
   2624 | 2014-02-12   |   40 |      8
   2669 | 2014-02-13   |   44 |      8
   2740 | 2014-02-16   |   74 |      8
   2762 | 2014-02-15   |   54 |      8
   2853 | 2014-02-14   |   51 |      8
   3125 | 2014-02-11   |   32 |      8
   3493 | 2014-02-15   |   55 |      8
   3610 | 2014-02-14   |   55 |      8
   3656 | 2014-02-14   |   54 |      8
   3825 | 2014-02-17   |   59 |      8
   3853 | 2014-02-10   |   16 |      8
   3887 | 2014-02-14   |   69 |      8
   4029 | 2014-02-09   |    2 |      8
   4329 | 2014-02-16   |   83 |      8
   4395 | 2014-02-11   |   23 |      8
   4592 | 2014-02-16   |   65 |      8
   4773 | 2014-02-09   |   13 |      8
   4926 | 2014-02-09   |    9 |      8
   4939 | 2014-02-11   |   31 |      8
   5031 | 2014-02-11   |   33 |      8
   5621 | 2014-02-16   |   93 |      8
   5891 | 2014-02-13   |   37 |      8
   6171 | 2014-02-13   |   39 |      8
   6284 | 2014-02-15   |   68 |      8
   6695 | 2014-02-12   |   33 |      8
   6880 | 2014-02-14   |   60 |      8
   7035 | 2014-02-09   |    7 |      8
   7146 | 2014-02-16   |   80 |      8
   7168 | 2014-02-13   |   50 |      8
   7289 | 2014-02-17   |   71 |      8
   7415 | 2014-02-12   |   38 |      8
   7418 | 2014-02-10   |   21 |      8
   7439 | 2014-02-15   |   85 |      8
   7915 | 2014-02-17   |   91 |      8
   8178 | 2014-02-12   |   42 |      8
   8270 | 2014-02-09   |    9 |      8
   8513 | 2014-02-15   |   72 |      8
   8536 | 2014-02-09   |   12 |      8
   8566 | 2014-02-09   |   14 |      8
   8697 | 2014-02-12   |   34 |      8
   8763 | 2014-02-14   |   75 |      8
   8794 | 2014-02-10   |   17 |      8
   8801 | 2014-02-15   |   59 |      8
   8826 | 2014-02-14   |   51 |      8
   8914 | 2014-02-16   |   99 |      8
   9006 | 2014-02-16   |   78 |      8
   9157 | 2014-02-11   |   37 |      8
   9470 | 2014-02-15   |   85 |      8
   9559 | 2014-02-16   |   71 |      8
   9642 | 2014-02-13   |   43 |      8
   9653 | 2014-02-10   |   21 |      8
   9666 | 2014-02-16   |   69 |      8
   9789 | 2014-02-08   |    0 |      8
   9803 | 2014-02-11   |   24 |      8
   9921 | 2014-02-12   |   35 |      8
     16 | 2014-02-16   |   84 |      9
    342 | 2014-02-16   |   69 |      9
    568 | 2014-02-16   |   69 |      9
    719 | 2014-02-17   |   67 |      9
   1071 | 2014-02-09   |    6 |      9
   1127 | 2014-02-12   |   40 |      9
   1169 | 2014-02-17   |   91 |      9
   1214 | 2014-02-11   |   24 |      9
   1412 | 2014-02-12   |   48 |      9
   1868 | 2014-02-08   |    0 |      9
   2113 | 2014-02-16   |   91 |      9
   2146 | 2014-02-12   |   40 |      9
   2351 | 2014-02-10   |   18 |      9
   2383 | 2014-02-13   |   48 |      9
   2402 | 2014-02-09   |    7 |      9
   2579 | 2014-02-13   |   55 |      9
   3116 | 2014-02-12   |   44 |      9
   3361 | 2014-02-12   |   41 |      9
   3663 | 2014-02-09   |    9 |      9
   3962 | 2014-02-16   |   71 |      9
   4148 | 2014-02-09   |    7 |      9
   4446 | 2014-02-11   |   20 |      9
   4457 | 2014-02-11   |   27 |      9
   4461 | 2014-02-13   |   47 |      9
   4531 | 2014-02-09   |    6 |      9
   4563 | 2014-02-11   |   32 |      9
   4592 | 2014-02-16   |   65 |      9
   5032 | 2014-02-11   |   29 |      9
   5052 | 2014-02-12   |   39 |      9
   5303 | 2014-02-15   |   69 |      9
   5673 | 2014-02-11   |   24 |      9
   6189 | 2014-02-13   |   50 |      9
   6257 | 2014-02-16   |   83 |      9
   6477 | 2014-02-09   |   10 |      9
   6515 | 2014-02-13   |   34 |      9
   6738 | 2014-02-14   |   52 |      9
   7181 | 2014-02-10   |   19 |      9
   7182 | 2014-02-08   |    1 |      9
   7535 | 2014-02-15   |   65 |      9
   7633 | 2014-02-17   |   80 |      9
   7680 | 2014-02-10   |   20 |      9
   7729 | 2014-02-17   |   89 |      9
   7954 | 2014-02-14   |   75 |      9
   8007 | 2014-02-16   |   77 |      9
   8091 | 2014-02-10   |   22 |      9
   8178 | 2014-02-12   |   41 |      9
   8183 | 2014-02-16   |   91 |      9
   8230 | 2014-02-16   |   72 |      9
   8575 | 2014-02-10   |   19 |      9
   8801 | 2014-02-15   |   59 |      9
   8819 | 2014-02-14   |   44 |      9
   8918 | 2014-02-09   |   10 |      9
   9266 | 2014-02-15   |   70 |      9
   9342 | 2014-02-17   |   99 |      9
   9524 | 2014-02-12   |   45 |      9
   9594 | 2014-02-17   |   95 |      9
   9657 | 2014-02-15   |   70 |      9
   9732 | 2014-02-17   |   88 |      9
   9775 | 2014-02-17   |  104 |      9
   9786 | 2014-02-12   |   41 |      9
     16 | 2014-02-16   |   84 |     10
     80 | 2014-02-10   |   11 |     10
    836 | 2014-02-14   |   50 |     10
    983 | 2014-02-14   |   56 |     10
   1001 | 2014-02-13   |   53 |     10
   1494 | 2014-02-15   |   71 |     10
   1548 | 2014-02-10   |   24 |     10
   1693 | 2014-02-16   |   70 |     10
   1760 | 2014-02-15   |   53 |     10
   1917 | 2014-02-15   |   61 |     10
   2036 | 2014-02-12   |   38 |     10
   2107 | 2014-02-16   |   72 |     10
   2325 | 2014-02-12   |   33 |     10
   2555 | 2014-02-14   |   55 |     10
   2634 | 2014-02-13   |   38 |     10
   3049 | 2014-02-08   |    0 |     10
   3494 | 2014-02-10   |   16 |     10
   4041 | 2014-02-15   |   60 |     10
   4130 | 2014-02-15   |   69 |     10
   4592 | 2014-02-16   |   63 |     10
   4592 | 2014-02-16   |   65 |     10
   4629 | 2014-02-12   |   39 |     10
   4840 | 2014-02-10   |   19 |     10
   5007 | 2014-02-13   |   55 |     10
   5031 | 2014-02-11   |   31 |     10
   5135 | 2014-02-12   |   45 |     10
   5310 | 2014-02-17   |   95 |     10
   5352 | 2014-02-12   |   33 |     10
   6114 | 2014-02-09   |   11 |     10
   8383 | 2014-02-13   |   48 |     10
   8433 | 2014-02-13   |   26 |     10
   8500 | 2014-02-17   |  115 |     10
   8572 | 2014-02-17   |   78 |     10
   8627 | 2014-02-16   |   57 |     10
   8746 | 2014-02-17   |   89 |     10
   9640 | 2014-02-10   |   18 |     10
   9764 | 2014-02-16   |   69 |     10
    395 | 2014-02-10   |   19 |     11
    647 | 2014-02-16   |   81 |     11
   1837 | 2014-02-10   |   12 |     11
   2906 | 2014-02-08   |    0 |     11
   3156 | 2014-02-12   |   28 |     11
   3835 | 2014-02-16   |   78 |     11
   4310 | 2014-02-11   |   33 |     11
   4592 | 2014-02-16   |   63 |     11
   4616 | 2014-02-16   |   84 |     11
   4690 | 2014-02-12   |   49 |     11
   4969 | 2014-02-13   |   52 |     11
   5495 | 2014-02-16   |   71 |     11
   5654 | 2014-02-17   |   80 |     11
   6797 | 2014-02-11   |   30 |     11
   7819 | 2014-02-17   |  110 |     11
   8179 | 2014-02-10   |   18 |     11
   8387 | 2014-02-15   |   80 |     11
   8509 | 2014-02-17   |   80 |     11
   8907 | 2014-02-17   |   78 |     11
   9047 | 2014-02-09   |   10 |     11
   9051 | 2014-02-10   |   13 |     11
   9521 | 2014-02-11   |   21 |     11
   9559 | 2014-02-14   |   52 |     11
   9657 | 2014-02-15   |   68 |     11
    288 | 2014-02-15   |   68 |     12
   1347 | 2014-02-13   |   58 |     12
   2449 | 2014-02-17   |   89 |     12
   4300 | 2014-02-14   |   61 |     12
   4380 | 2014-02-11   |   21 |     12
   4592 | 2014-02-16   |   63 |     12
   4832 | 2014-02-11   |   32 |     12
   4969 | 2014-02-13   |   52 |     12
   5619 | 2014-02-11   |   31 |     12
   6875 | 2014-02-11   |   30 |     12
   7753 | 2014-02-12   |   45 |     12
   7908 | 2014-02-17   |   80 |     12
   8388 | 2014-02-10   |   17 |     12
   8746 | 2014-02-17   |   89 |     12
   9306 | 2014-02-13   |   46 |     12
   9775 | 2014-02-17   |  101 |     12
   9965 | 2014-02-11   |   27 |     12
    227 | 2014-02-10   |   16 |     13
   1435 | 2014-02-15   |   70 |     13
   4062 | 2014-02-14   |   60 |     13
   6509 | 2014-02-15   |   63 |     13
   8038 | 2014-02-09   |    9 |     13
   9055 | 2014-02-13   |   38 |     13
   9079 | 2014-02-17   |   95 |     13
   9146 | 2014-02-14   |   63 |     13
   9897 | 2014-02-12   |   48 |     13
    231 | 2014-02-17   |  103 |     14
   2772 | 2014-02-16   |   80 |     14
   3037 | 2014-02-11   |   24 |     14
   7364 | 2014-02-09   |    3 |     14
   8179 | 2014-02-10   |   15 |     14
   9559 | 2014-02-14   |   49 |     14
   6114 | 2014-02-09   |    6 |     15
   7807 | 2014-02-12   |   36 |     15
   7882 | 2014-02-11   |   30 |     15
   2772 | 2014-02-16   |   78 |     16
   4773 | 2014-02-09   |    5 |     16
   5081 | 2014-02-16   |   81 |     16
   7633 | 2014-02-17   |   73 |     16
   6211 | 2014-02-09   |    7 |     17
   3229 | 2014-02-15   |   71 |     18
(1189 rows)

