 userid |   start    | start_pos | length 
    400 | 2014-02-21 |       116 |      7
    480 | 2014-02-26 |       181 |      7
    651 | 2014-02-24 |       153 |      7
    753 | 2014-02-14 |        64 |      7
    796 | 2014-02-27 |       189 |      7
    820 | 2014-02-17 |       101 |      7
    850 | 2014-02-09 |         7 |      7
    890 | 2014-02-21 |       141 |      7
    902 | 2014-02-12 |        52 |      7
    934 | 2014-02-10 |        21 |      7
    963 | 2014-02-20 |       115 |      7
    985 | 2014-02-15 |        54 |      7
    998 | 2014-02-14 |        53 |      7
     39 | 2014-02-21 |       128 |      8
    101 | 2014-02-12 |        48 |      8
    161 | 2014-02-17 |        77 |      8
    444 | 2014-02-22 |       130 |      8
    504 | 2014-02-13 |        50 |      8
    520 | 2014-02-16 |        84 |      8
    535 | 2014-02-13 |        45 |      8
    822 | 2014-02-23 |       156 |      8
    881 | 2014-02-12 |        38 |      8
    954 | 2014-02-15 |        85 |      8
    963 | 2014-02-21 |       130 |      8
    964 | 2014-02-22 |       153 |      8
    995 | 2014-02-16 |        65 |      8
     16 | 2014-02-18 |        94 |      9
    145 | 2014-02-21 |       142 |      9
    181 | 2014-02-24 |       163 |      9
    198 | 2014-02-14 |        73 |      9
    207 | 2014-02-23 |       138 |      9
    299 | 2014-02-13 |        36 |      9
    356 | 2014-02-09 |         8 |      9
    499 | 2014-02-25 |       139 |      9
    612 | 2014-02-16 |        70 |      9
    636 | 2014-02-16 |        73 |      9
    767 | 2014-02-13 |        55 |      9
    881 | 2014-02-26 |       159 |      9
    178 | 2014-02-14 |        54 |     10
    286 | 2014-02-14 |        73 |     10
    325 | 2014-02-14 |        45 |     10
    359 | 2014-02-20 |       103 |     10
    376 | 2014-02-16 |        72 |     10
    516 | 2014-02-26 |       178 |     10
    677 | 2014-02-23 |       154 |     10
    767 | 2014-02-13 |        54 |     10
    889 | 2014-02-18 |       107 |     10
    282 | 2014-02-12 |        40 |     11
    489 | 2014-02-18 |        92 |     11
    753 | 2014-02-14 |        64 |     11
    777 | 2014-02-27 |       170 |     11
    886 | 2014-02-13 |        36 |     11
    889 | 2014-02-18 |       106 |     11
    919 | 2014-02-24 |       141 |     11
    998 | 2014-02-14 |        49 |     11
      5 | 2014-02-24 |       157 |     12
    489 | 2014-02-18 |        92 |     12
    726 | 2014-02-18 |       115 |     12
    742 | 2014-02-09 |         4 |     12
    919 | 2014-02-24 |       139 |     13
    421 | 2014-02-10 |        13 |     15
(219 rows)

