 userid |   ddate    | tpos | lengthh 
    122 | 2014-02-24 |  155 |      16
    123 | 2014-02-27 |  173 |      13
    123 | 2014-02-24 |  143 |      13
    123 | 2014-02-14 |   53 |      13
    124 | 2014-02-26 |  162 |      18
    125 | 2014-02-10 |   22 |      15
    125 | 2014-02-14 |   70 |      15
    125 | 2014-02-21 |  147 |      15
    125 | 2014-02-27 |  213 |      15
    126 | 2014-02-11 |   26 |      14
    126 | 2014-02-13 |   49 |      14
    126 | 2014-02-26 |  187 |      14
    126 | 2014-02-15 |   76 |      14
    126 | 2014-02-23 |  156 |      14
    126 | 2014-02-20 |  123 |      14
    127 | 2014-02-12 |   40 |      15
    128 | 2014-02-19 |  105 |      16
    129 | 2014-02-16 |   81 |      18
    130 | 2014-02-21 |  138 |      17
    130 | 2014-02-17 |   92 |      17
    131 | 2014-02-19 |  104 |      19
    132 | 2014-02-13 |   53 |      16
    133 | 2014-02-16 |   61 |      18
    134 | 2014-02-23 |  131 |      16
    135 | 2014-02-26 |  203 |      17
    136 | 2014-02-12 |   35 |      19
    137 | 2014-02-09 |    5 |      16
    138 | 2014-02-22 |  124 |      15
    139 | 2014-02-20 |  102 |      17
    140 | 2014-02-12 |   30 |      14
    140 | 2014-02-16 |   70 |      14
    141 | 2014-02-25 |  161 |      17
    142 | 2014-02-12 |   39 |      16
    143 | 2014-02-15 |   64 |      15
    144 | 2014-02-19 |  103 |      13
    144 | 2014-02-16 |   74 |      13
    144 | 2014-02-09 |    6 |      13
    144 | 2014-02-26 |  171 |      13
    144 | 2014-02-21 |  125 |      13
    145 | 2014-02-24 |  151 |      19
    146 | 2014-02-12 |   30 |      18
    147 | 2014-02-18 |  101 |      15
    148 | 2014-02-19 |  117 |      17
    149 | 2014-02-13 |   50 |      15
    149 | 2014-02-24 |  151 |      15
    150 | 2014-02-21 |  116 |      20
    151 | 2014-02-22 |  129 |      17
    152 | 2014-02-16 |   75 |      14
    152 | 2014-02-26 |  182 |      14
    152 | 2014-02-18 |  100 |      14
    153 | 2014-02-16 |   90 |      20
    154 | 2014-02-19 |  112 |      17
    155 | 2014-02-15 |   69 |      16
    156 | 2014-02-26 |  190 |      20
    157 | 2014-02-26 |  157 |      15
    158 | 2014-02-14 |   64 |      18
    159 | 2014-02-18 |   91 |      18
    160 | 2014-02-24 |  150 |      18
    161 | 2014-02-14 |   55 |      15
    162 | 2014-02-13 |   59 |      15
    162 | 2014-02-11 |   32 |      15
    163 | 2014-02-11 |   20 |      12
    164 | 2014-02-15 |   58 |      15
    165 | 2014-02-26 |  163 |      15
    166 | 2014-02-20 |   96 |      15
    167 | 2014-02-25 |  157 |      15
    168 | 2014-02-18 |   94 |      15
    169 | 2014-02-23 |  144 |      17
    170 | 2014-02-09 |    7 |      17
    171 | 2014-02-22 |  126 |      17
    172 | 2014-02-14 |   40 |      15
    173 | 2014-02-22 |  137 |      16
    174 | 2014-02-13 |   43 |      17
    175 | 2014-02-21 |  147 |      16
    176 | 2014-02-15 |   62 |      17
    177 | 2014-02-24 |  169 |      16
    177 | 2014-02-18 |  105 |      16
    178 | 2014-02-10 |   17 |      16
    179 | 2014-02-18 |  113 |      16
    179 | 2014-02-09 |    7 |      16
    179 | 2014-02-25 |  203 |      16
    179 | 2014-02-20 |  140 |      16
    180 | 2014-02-16 |   68 |      15
    181 | 2014-02-25 |  140 |      14
    182 | 2014-02-15 |   67 |      14
    182 | 2014-02-10 |   17 |      14
    183 | 2014-02-15 |   66 |      16
    183 | 2014-02-17 |   94 |      16
    183 | 2014-02-19 |  117 |      16
    184 | 2014-02-15 |   57 |      14
    184 | 2014-02-21 |  114 |      14
    185 | 2014-02-15 |   57 |      16
    186 | 2014-02-14 |   56 |      15
    186 | 2014-02-21 |  127 |      15
    186 | 2014-02-10 |   21 |      15
    187 | 2014-02-24 |  143 |      18
    188 | 2014-02-18 |   86 |      16
    189 | 2014-02-16 |   74 |      15
    190 | 2014-02-10 |   10 |      15
    191 | 2014-02-19 |   89 |      16
    192 | 2014-02-16 |   78 |      16
    192 | 2014-02-11 |   30 |      16
    193 | 2014-02-09 |    7 |      16
    193 | 2014-02-19 |  122 |      16
    194 | 2014-02-13 |   32 |      18
    195 | 2014-02-14 |   44 |      17
    196 | 2014-02-13 |   47 |      13
    196 | 2014-02-11 |   28 |      13
    196 | 2014-02-17 |   91 |      13
    197 | 2014-02-20 |  109 |      18
    198 | 2014-02-27 |  188 |      14
    198 | 2014-02-18 |   92 |      14
    198 | 2014-02-24 |  160 |      14
    199 | 2014-02-24 |  147 |      15
    199 | 2014-02-22 |  124 |      15
    200 | 2014-02-24 |  175 |      17
    201 | 2014-02-10 |   18 |      13
    201 | 2014-02-18 |   86 |      13
    202 | 2014-02-21 |  123 |      19
    203 | 2014-02-17 |   76 |      16
    204 | 2014-02-13 |   52 |      16
    205 | 2014-02-26 |  161 |      17
    206 | 2014-02-25 |  160 |      17
    207 | 2014-02-16 |   71 |      16
    208 | 2014-02-17 |   90 |      16
    209 | 2014-02-26 |  166 |      14
    210 | 2014-02-10 |   20 |      14
    211 | 2014-02-24 |  160 |      18
    212 | 2014-02-22 |  122 |      12
    213 | 2014-02-11 |   29 |      17
    214 | 2014-02-22 |  137 |      18
    215 | 2014-02-19 |  111 |      20
    216 | 2014-02-20 |  112 |      16
    217 | 2014-02-23 |  153 |      18
    218 | 2014-02-20 |  120 |      15
    218 | 2014-02-10 |   18 |      15
    219 | 2014-02-10 |   12 |      17
    220 | 2014-02-17 |   81 |      14
    221 | 2014-02-13 |   42 |      15
    221 | 2014-02-16 |   77 |      15
    222 | 2014-02-27 |  201 |      16
    223 | 2014-02-14 |   67 |      15
    224 | 2014-02-12 |   40 |      16
    225 | 2014-02-24 |  150 |      14
    225 | 2014-02-12 |   30 |      14
    226 | 2014-02-25 |  140 |      16
    227 | 2014-02-09 |    7 |      14
    228 | 2014-02-15 |   71 |      17
    229 | 2014-02-12 |   36 |      13
    229 | 2014-02-21 |  136 |      13
    229 | 2014-02-17 |   93 |      13
    230 | 2014-02-22 |  147 |      19
    231 | 2014-02-10 |   14 |      18
    232 | 2014-02-26 |  177 |      16
    233 | 2014-02-16 |   75 |      15
    233 | 2014-02-22 |  136 |      15
    234 | 2014-02-14 |   56 |      17
    234 | 2014-02-24 |  171 |      17
    235 | 2014-02-10 |   13 |      19
    236 | 2014-02-11 |   23 |      16
    237 | 2014-02-23 |  133 |      13
    237 | 2014-02-21 |  108 |      13
    238 | 2014-02-24 |  157 |      15
    238 | 2014-02-16 |   74 |      15
    238 | 2014-02-14 |   51 |      15
    239 | 2014-02-26 |  157 |      16
    240 | 2014-02-20 |  100 |      16
    241 | 2014-02-19 |   98 |      17
    242 | 2014-02-09 |    4 |      14
    243 | 2014-02-25 |  168 |      15
    244 | 2014-02-26 |  165 |      17
    245 | 2014-02-18 |   88 |      16
    246 | 2014-02-21 |  137 |      16
    247 | 2014-02-26 |  189 |      20
    248 | 2014-02-23 |  126 |      19
    249 | 2014-02-13 |   43 |      18
    250 | 2014-02-26 |  156 |      15
    251 | 2014-02-09 |    6 |      17
    252 | 2014-02-11 |   25 |      15
    253 | 2014-02-17 |   86 |      15
    254 | 2014-02-25 |  172 |      17
    255 | 2014-02-13 |   43 |      13
    256 | 2014-02-26 |  167 |      17
    257 | 2014-02-15 |   70 |      13
    257 | 2014-02-11 |   27 |      13
    258 | 2014-02-14 |   54 |      15
    259 | 2014-02-12 |   35 |      16
    260 | 2014-02-12 |   25 |      15
    261 | 2014-02-15 |   57 |      19
    262 | 2014-02-23 |  146 |      18
    263 | 2014-02-18 |   92 |      17
    264 | 2014-02-16 |   82 |      17
    265 | 2014-02-14 |   54 |      14
    266 | 2014-02-11 |   16 |      17
    267 | 2014-02-26 |  130 |      13
    268 | 2014-02-09 |    7 |      19
    269 | 2014-02-16 |   69 |      14
    269 | 2014-02-20 |  110 |      14
    270 | 2014-02-27 |  175 |      16
    271 | 2014-02-19 |   94 |      14
    272 | 2014-02-24 |  174 |      17
    273 | 2014-02-25 |  151 |      16
    274 | 2014-02-26 |  162 |      17
    275 | 2014-02-23 |  158 |      18
    276 | 2014-02-20 |  106 |      17
    277 | 2014-02-19 |  113 |      18
    278 | 2014-02-19 |  110 |      17
    279 | 2014-02-13 |   45 |      17
    280 | 2014-02-23 |  134 |      12
    280 | 2014-02-11 |   24 |      12
    281 | 2014-02-10 |   13 |      14
    281 | 2014-02-15 |   61 |      14
    281 | 2014-02-17 |   87 |      14
    282 | 2014-02-26 |  154 |      16
    283 | 2014-02-10 |   18 |      18
    284 | 2014-02-14 |   52 |      15
    285 | 2014-02-10 |   16 |      16
    286 | 2014-02-18 |   92 |      15
    286 | 2014-02-23 |  149 |      15
    287 | 2014-02-11 |   22 |      16
    288 | 2014-02-21 |  112 |      14
    288 | 2014-02-11 |   34 |      14
    289 | 2014-02-24 |  128 |      17
    290 | 2014-02-09 |    8 |      16
    290 | 2014-02-12 |   45 |      16
