 userid | start_pos | length |   start    |          venue           
   6350 |        24 |     11 | 2014-02-11 | 4d63b651e7f060fccc778e72
   7082 |       111 |     11 | 2014-02-19 | 4bb3ae802397b713f27838b3
   7563 |       115 |     11 | 2014-02-20 | 4e42c8211495387dc48ae0d4
   7638 |       102 |     11 | 2014-02-17 | 4a58f861f964a52058b81fe3
    446 |        35 |     12 | 2014-02-12 | 4b37c33cf964a520b54525e3
   4658 |       100 |     12 | 2014-02-19 | 4840fef8f964a52031501fe3
   4716 |       103 |     12 | 2014-02-19 | 4a9f2ec3f964a520d73c20e3
   8222 |        61 |     12 | 2014-02-16 | 4e4ff3f845ddff0031c75551
   9331 |        66 |     12 | 2014-02-15 | 4be5a2cb2468c92884490043
   9808 |        58 |     12 | 2014-02-14 | 412bd680f964a520bc0c1fe3
   1869 |         7 |     13 | 2014-02-09 | 4f1c39a5e4b0b4fdea188c7b
   2518 |        80 |     13 | 2014-02-15 | 4f45677ae4b01fefa017a641
   7474 |       172 |     13 | 2014-02-25 | 4bf9588ebb5176b0a6905bb2
   8832 |       117 |     15 | 2014-02-20 | 4ba51052f964a520dad738e3
   8645 |       147 |     16 | 2014-02-21 | 508e944ce4b0e9aafb7b98c8
(267 rows)

