 userid |   ddate    | tpos | lengthh 
    125 | 2014-02-14 |   55 |      13
    126 | 2014-02-09 |    1 |      16
    127 | 2014-02-10 |   16 |      17
    128 | 2014-02-10 |   16 |      12
    128 | 2014-02-13 |   43 |      12
    129 | 2014-02-12 |   31 |      14
    130 | 2014-02-10 |   15 |      17
    131 | 2014-02-15 |   59 |      13
    132 | 2014-02-09 |    4 |      16
    133 | 2014-02-10 |    9 |      12
    133 | 2014-02-12 |   25 |      12
    134 | 2014-02-17 |   75 |      14
    135 | 2014-02-15 |   65 |      17
    136 | 2014-02-13 |   60 |      15
    137 | 2014-02-14 |   49 |      13
    138 | 2014-02-13 |   45 |      15
    139 | 2014-02-12 |   44 |      16
    140 | 2014-02-11 |   23 |      13
    140 | 2014-02-13 |   41 |      13
    140 | 2014-02-14 |   54 |      13
    141 | 2014-02-12 |   31 |      14
    141 | 2014-02-17 |   80 |      14
    142 | 2014-02-16 |   66 |      13
    143 | 2014-02-17 |   79 |      15
    144 | 2014-02-17 |  100 |      15
    145 | 2014-02-11 |   23 |      19
    146 | 2014-02-11 |   29 |      13
    147 | 2014-02-13 |   35 |      16
    148 | 2014-02-10 |   19 |      14
    148 | 2014-02-14 |   58 |      14
    149 | 2014-02-17 |   75 |      15
    150 | 2014-02-11 |   18 |      13
    151 | 2014-02-16 |   68 |      15
    152 | 2014-02-12 |   32 |      19
    153 | 2014-02-09 |    7 |      15
    153 | 2014-02-13 |   44 |      15
    154 | 2014-02-10 |   12 |      15
    155 | 2014-02-16 |   75 |      14
    155 | 2014-02-17 |   89 |      14
    156 | 2014-02-17 |   66 |      15
    157 | 2014-02-14 |   50 |      15
    158 | 2014-02-15 |   50 |      13
    159 | 2014-02-10 |   14 |      14
    160 | 2014-02-15 |   56 |      13
    161 | 2014-02-09 |    9 |      11
    161 | 2014-02-12 |   35 |      11
    161 | 2014-02-15 |   61 |      11
    162 | 2014-02-17 |   81 |      13
    163 | 2014-02-13 |   42 |      18
    164 | 2014-02-17 |   87 |      15
    165 | 2014-02-17 |   95 |      16
