 userid |   ddate    | tpos | lengthh 
    110 | 2014-02-27 |  198 |      15
    111 | 2014-02-26 |  171 |      17
    112 | 2014-02-11 |   36 |      20
    113 | 2014-02-11 |   24 |      16
    113 | 2014-02-16 |   87 |      16
    114 | 2014-02-15 |   58 |      15
    114 | 2014-02-13 |   38 |      15
    115 | 2014-02-19 |  101 |      17
    116 | 2014-02-15 |   70 |      17
    117 | 2014-02-16 |   78 |      17
    118 | 2014-02-17 |   86 |      15
    118 | 2014-02-26 |  174 |      15
    118 | 2014-02-11 |   23 |      15
    119 | 2014-02-24 |  173 |      18
    120 | 2014-02-10 |   10 |      15
    121 | 2014-02-15 |   54 |      17
    122 | 2014-02-15 |   48 |      13
    122 | 2014-02-16 |   61 |      13
    123 | 2014-02-26 |  181 |      18
    124 | 2014-02-12 |   29 |      15
    124 | 2014-02-26 |  175 |      15
    125 | 2014-02-17 |   87 |      14
    126 | 2014-02-13 |   52 |      14
    127 | 2014-02-10 |   11 |      18
    128 | 2014-02-27 |  174 |      16
    129 | 2014-02-09 |    7 |      15
    130 | 2014-02-20 |  134 |      18
    131 | 2014-02-13 |   45 |      14
    132 | 2014-02-26 |  161 |      14
    133 | 2014-02-25 |  182 |      19
    134 | 2014-02-23 |  145 |      17
    135 | 2014-02-13 |   44 |      15
    135 | 2014-02-19 |  103 |      15
    136 | 2014-02-12 |   37 |      16
    136 | 2014-02-27 |  183 |      16
    137 | 2014-02-20 |  115 |      18
    137 | 2014-02-09 |    6 |      18
    138 | 2014-02-24 |  169 |      16
    138 | 2014-02-10 |   14 |      16
    139 | 2014-02-26 |  154 |      14
    140 | 2014-02-13 |   38 |      15
    140 | 2014-02-25 |  152 |      15
    141 | 2014-02-19 |  114 |      16
    142 | 2014-02-14 |   36 |      13
    143 | 2014-02-18 |  104 |      14
    144 | 2014-02-10 |   16 |      17
    145 | 2014-02-11 |   22 |      16
    145 | 2014-02-20 |  125 |      16
    146 | 2014-02-24 |  146 |      17
    147 | 2014-02-24 |  154 |      17
    148 | 2014-02-09 |    3 |      13
    148 | 2014-02-13 |   41 |      13
    148 | 2014-02-22 |  127 |      13
    149 | 2014-02-14 |   43 |      14
    150 | 2014-02-20 |  122 |      14
    151 | 2014-02-16 |   91 |      16
    152 | 2014-02-22 |  129 |      15
    153 | 2014-02-14 |   54 |      16
    154 | 2014-02-09 |    6 |      16
    155 | 2014-02-19 |  115 |      17
    156 | 2014-02-21 |  124 |      18
    157 | 2014-02-13 |   46 |      16
    158 | 2014-02-25 |  171 |      16
    159 | 2014-02-22 |  131 |      13
    159 | 2014-02-12 |   35 |      13
    160 | 2014-02-09 |    3 |      17
    161 | 2014-02-27 |  176 |      16
    162 | 2014-02-10 |   21 |      16
    163 | 2014-02-22 |  144 |      14
    163 | 2014-02-19 |  109 |      14
    164 | 2014-02-15 |   55 |      16
    165 | 2014-02-13 |   51 |      16
    166 | 2014-02-09 |    7 |      16
    167 | 2014-02-25 |  165 |      14
    167 | 2014-02-12 |   43 |      14
    167 | 2014-02-09 |    5 |      14
    168 | 2014-02-14 |   54 |      18
    169 | 2014-02-10 |   15 |      14
    169 | 2014-02-21 |  127 |      14
    170 | 2014-02-16 |   86 |      18
    171 | 2014-02-25 |  146 |      17
    172 | 2014-02-17 |   68 |      13
    173 | 2014-02-11 |   26 |      14
    174 | 2014-02-24 |  191 |      20
    175 | 2014-02-14 |   51 |      16
    175 | 2014-02-09 |    6 |      16
    175 | 2014-02-20 |  121 |      16
    176 | 2014-02-10 |   13 |      18
    177 | 2014-02-14 |   51 |      15
    178 | 2014-02-16 |   72 |      14
    179 | 2014-02-26 |  155 |      16
    180 | 2014-02-13 |   43 |      15
    180 | 2014-02-22 |  133 |      15
    180 | 2014-02-17 |   78 |      15
    181 | 2014-02-24 |  157 |      15
    181 | 2014-02-09 |    6 |      15
